,business_id,city,postal_code,stars,review_count,Type,hours_per_week
1939,bFWH7wlto7jjjwce5ZV--A,Goleta,93117,4.5,227,American,73.0
1946,bLnC1_-Kd_Z5qhHNQXCUfQ,Goleta,93117,4.0,330,Japanese,66.0
1953,bRlpi6k7wTSHHEapcLz_KA,Goleta,93117,2.0,175,Mexican,70.19999999999999
1960,bVaRZDHkWdsHuARGxxpREw,Santa Barbara,93101,4.5,97,Japanese,27.200000000000003
1967,bXrQejeR66IwebuhxPS7GA,Santa Barbara,93101,4.5,323,Deli,34.0
1974,bp482wqF6v80AltDNlPDfw,Santa Barbara,93101,4.5,530,American,53.4
1981,c0p9TawJSQHchy5aL8NWgQ,Santa Barbara,93103,4.5,227,Mexican,67.80000000000001
1988,c1tH5Btm_f7SQ-6ju22wag,Goleta,93117,4.0,127,Mexican,70.0
1995,cCi63HyU5XtjCaCVw0qJCw,Santa Barbara,93101,3.0,15,American,45.0
2002,cOoTIQ0RcudE1R5aRVZzdw,Carpinteria,93013,3.5,92,Breakfast,56.0
2009,cVW9b_1bqsvTU1jhGNWUsw,Santa Barbara,93106,3.0,9,Japanese,31.500000000000004
2016,cbX2XHrun39yJBND451_oA,Goleta,93117,4.0,24,Bakery,98.0
2023,ctVn7wMvJX8f4Z9SnOnrHw,Santa Barbara,93117,3.5,243,American,35.0
2030,d-5kMts7CzenaPgDzesQDg,Goleta,93117,2.5,79,Pizza,65.10000000000001
2037,d0E938M2_4kcuULUdnj-Xw,Santa Barbara,93101,4.5,269,American,58.0
2044,d0ybsdCs9S9DTDTxuwLbKg,Goleta,93117,3.0,52,Mexican,98.0
2051,d35qSICZEJDIuGUIUIbkgw,Goleta,93117,2.5,33,Fast Food,56.0
2058,dQ6d9H7rnFSOSC_FXbJ_FQ,Santa Barbara,93109,4.0,50,Healthy,84.0
2065,dbydQdzf0uEsvQ9y7SKT7w,Goleta,93117,3.5,11,American,63.0
2072,e0DU7_0mfalr-lnyUafiag,Montecito,93108,3.5,147,Pizza,68.5
2079,e8IBUW8tO5XlmgD4fSMtqA,Goleta,93117,3.0,45,Fast Food,47.0
2086,eBxc95u_Gcs9bLST0UntOQ,Santa Barbara,93105,4.0,378,Mexican,77.0
2093,eCnHSfwrco1Vs3m-iRcavw,Goleta,93117,4.0,30,American,60.0
2100,eGI_WepIIjYahIrMVRknfw,Goleta,93117,4.5,79,Japanese,70.0
2107,ebJav941naDgngDP2EIRHw,Santa Barbara,93101,2.5,51,Fast Food,67.89999999999999
2114,edJoBsse6nsF0BYh6pATAg,Santa Barbara,93101,4.5,1500,American,24.0
2121,eikRexw04kC6siBDkFnayQ,Santa Barbara,93101,4.5,367,American,56.0
2128,ejqpFQ0dwO7AZhxTO9fySg,Santa Barbara,93103,4.5,140,American,18.6
2135,eoH4nxBTSu6kf-41pWDwJQ,Carpinteria,93013,4.0,253,Pizza,60.0
2142,f3eve2cxUIzyanWnHdMtFQ,Santa Barbara,93101,4.5,813,Mexican,60.900000000000006
2149,f7S0WFDy_J1TGahYhnoMLA,Santa Barbara,93101,4.5,170,Pizza,55.2
2156,fAiPD2OIEm9wtS7uJqzu5Q,Goleta,93117,4.0,130,Healthy,54.0
2163,fApb6LKfOdy5u7MP0hsHKg,Santa Barbara,93105,3.5,260,Japanese,27.200000000000003
2170,fHUAs1ec568wu-a_mRq7Rw,Santa Barbara,93105,1.5,49,Fast Food,112.0
2177,fKrmWy4GFsrgdOYhN9pyZA,Santa Barbara,93101,4.0,334,Italian,26.0
2184,fVUurZgbWXzp2QzDzJzmpA,Santa Barbara,93101,4.5,1213,Deli,37.0
2191,fiQxkb1pfPpvrr0oYYYBcA,Santa Barbara,93101,5.0,98,American,18.3
2198,g5J9OJ5e8SgLYd2DL8_K9w,Goleta,93117,4.5,10,Mexican,52.199999999999996
2205,g9MWxLxQdADqja0qN1HKkQ,Carpinteria,93013,5.0,16,Deli,41.0
2212,gebiRewfieSdtt17PTW6Zg,Santa Barbara,93101,3.5,488,Japanese,0.0
2219,gg5jIrK0cQbb3rmZHrteUw,Carpinteria,93013,2.5,15,Deli,54.0
2226,gjCxTVItFxk46rCZ-YaiFA,Santa Barbara,93101,4.5,340,Deli,52.0
2233,grBPIq_eJCT_SGuhvMrUZQ,Santa Barbara,93105,3.5,146,Pizza,62.0
2240,gsXBNWHWhHv_f9NcwpVajw,Santa Barbara,93101,4.5,29,Coffee,70.0
2247,h8DlM-VbvCNzpsTqihgUAw,Santa Barbara,93103,1.5,41,Fast Food,20.0
2254,hDr_bt6MEwlGvGCCKzyzhg,Santa Barbara,93111,4.0,187,Coffee,46.0
2261,hFYKu5SujPYf_tmnoiKozw,Montecito,93108,4.5,28,Healthy,59.0
2268,hPzPpfSjgQkpWCD7YjcY-A,Santa Barbara,93101,4.5,588,Bakery,38.0
2275,hVKH5oED9NgGaZeIiF547A,Santa Barbara,93105,4.0,214,Healthy,70.0
2282,i2yCrMQx5soH0jMFG32vxQ,Goleta,93117,3.0,32,Fast Food,79.10000000000001
2289,i5C6RVgr03HSrgCl8oa1Fg,Santa Barbara,93101,4.0,730,Pizza,69.0
2296,i9ASBmmIJS3RjN_UP-TtKw,Santa Barbara,93105,3.0,40,Coffee,100.19999999999999
2303,iBBV8vesQ8fo2IQA7an1JA,Santa Barbara,93101,4.0,733,American,20.6
2310,iHdrLu8deF5GceB0V1rPhA,Santa Barbara,93108,4.5,313,Healthy,24.6
2317,iMTjejk6apJKzCukZnDw5A,Montecito,93108,4.5,650,Bakery,36.00000000000001
2324,iT78kOB6Ja3BJQdYipPa5g,Goleta,93117,3.5,85,Mexican,72.0
2331,ifjluUv4VASwmFqEp8cWlQ,Santa Barbara,93105,4.0,64,Pizza,61.800000000000004
2338,izSgTrqebu8bN8ONOCs6cQ,Santa Barbara,93101,5.0,123,Coffee,30.200000000000003
2345,j3Ml_qEFnDOaH5miNzG6xw,Santa Barbara,93109,3.5,173,Mexican,62.6
2352,j6TDQvbRoMszGR0hyaVxvw,Goleta,93117,2.5,57,Fast Food,37.1
2359,j8c8WFqySY1eybnkJfgjSg,Montecito,93108,4.0,22,American,28.6
2366,jR3sTUWCPuOCWpdm8Pn-wQ,Santa Barbara,93105,4.5,270,Japanese,25.0
2373,jWgZRpdHy8csA1sUz1auSw,Santa Barbara,93105,3.5,23,Mexican,101.0
2380,jZncFsMQdrq268OHq_Q6uw,Santa Barbara,93109,4.0,108,Mexican,112.0
2387,jfRq1KtjEGyPoMo9HZVw2Q,Santa Barbara,93103,3.5,32,American,76.89999999999999
2394,jrSC1bwN2lz9dVBrNTejSg,Carpinteria,93013,3.5,204,Bakery,55.9
2401,jshnKTsnoXLSez5XD1qo7Q,Santa Barbara,93105,2.5,56,Fast Food,99.5
2408,jssubXBNkiSJIhbKuDtmpQ,Santa Barbara,93101,3.5,203,Japanese,35.0
2415,k6Ptrc94R-Mk549pDEVTFA,Santa Barbara,93105,4.0,164,Healthy,54.0
2422,kAGknILVe6xCv9a2uc5JHw,Carpinteria,93013,2.0,25,Fast Food,101.5
2429,kZtl_NJjUnlIQgzFrBhXyQ,Santa Barbara,93109,3.5,227,Japanese,28.6
2436,krTxH1a9kzWgwvt3PVH8pQ,Carpinteria,93013,4.5,318,American,24.0
2443,kwqXOtLCbNjgvwuMj4H1AQ,Santa Barbara,93108,4.5,70,Deli,40.0
2450,kwtKZ3fzM5jlR8Z7KIA17g,Santa Barbara,93101,5.0,50,American,60.0
2457,l7NDxnGzb6z2_H08rtfS0w,Goleta,93117,4.0,54,Mexican,70.0
2464,lNkxXDcNoHBpWDNPoZesYw,Montecito,93108,4.0,88,Italian,25.899999999999995
2471,lZ44dxn1TCzJaVBa8Ze8DQ,Goleta,93117,3.0,266,Japanese,35.0
2478,l_slvEnh4v3W8BXF1gYlcQ,Santa Barbara,93101,3.5,655,Mexican,69.1
2485,lnGHZ_pEJNGT9pcGQ467Ew,Santa Barbara,93105,3.0,52,American,105.0
2492,lu2UpRHLBZfvLG_caNEHKQ,Santa Barbara,93101,4.0,566,Healthy,49.0
2499,lwbFhaGaKUtwPdaXXjy3mQ,Santa Barbara,93101,4.5,11,American,76.7
2506,m-EfDi7UBwdiEBm7NXqq3w,Isla Vista,93117,4.0,151,Pizza,60.0
2513,m4kvY0viCwxqRtgOycnKVQ,Santa Barbara,93101,4.5,768,Mexican,30.0
2520,mAqgsZBTN-wsShMpkz2o9g,Santa Barbara,93101,3.0,142,Deli,94.45
2527,mMuvlDGcJrokNFd4ob9tcw,Summerland,93067,4.0,32,Coffee,56.0
2534,mNmUN0HghVFeAYTJ5GwxoA,Carpinteria,93013,2.5,49,Breakfast,82.0
2541,mYofSuxrIrPS2Gjsu-ZI4w,Santa Barbara,93103,4.5,47,Bakery,69.0
2548,mZ-pJSdAVrBa7ioXVzE7-Q,Santa Barbara,93103,3.5,22,American,35.0
2555,nMn4CTJQPXqpgLltYQrxMA,Santa Barbara,93101,4.5,240,Coffee,53.9
2562,nYPzsOjvida-ne7swSPHpA,Santa Barbara,93101,4.5,990,Mexican,71.0
2569,n_RyzuCAiR4yW2JLkl0Jng,Santa Barbara,93101,2.5,21,Breakfast,8.500000000000004
2576,nqsrL6BuIevb285dbdXjjA,Goleta,93117,2.5,10,Deli,73.3
2583,o4IiNbNybcy-L4vzTSoDJw,Santa Barbara,93101,4.0,672,Italian,27.500000000000004
2590,o9dB3ptlB9qdiOvJzMeSLw,Goleta,93117,3.5,173,American,63.0
2597,oGDGlUbOjHxmmCh8ZYcDCg,Santa Barbara,93101,4.0,1520,American,26.0
2604,oJwMmSZKJOnMboZ_z67MZw,Santa Barbara,93101,4.5,93,Pizza,30.0
2611,oYireVavpwflbyWes2BsqQ,Santa Barbara,93105,2.5,5,Mexican,66.0
2618,od_MWVpghkvSsl1HKasM9A,Santa Barbara,93105,4.0,55,Healthy,84.0
2625,okc-iCgWvKGa1DfQSOh1Ig,Santa Barbara,93103,4.0,10,Mexican,68.0
2632,omnCKxL0f_akh0eYeJxjDg,Santa Barbara,93101,4.0,353,American,71.0
2639,p2kC-cD22QAQzIGD8ZuqFA,Santa Barbara,93105,4.0,73,Coffee,70.0
2646,p6yHZaiijFq4b4P3sYSRjA,Montecito,93108,4.5,34,Bakery,42.0
2653,pC0vDDpl_2ue3HGAmGpMSg,Santa Barbara,93103,3.0,5,American,49.0
2660,pWDE_rueENu_f5HKA_AsWw,Goleta,93117,4.0,159,Coffee,66.5
2667,pqF3WkYktbR28uk2PSR7Rg,Santa Barbara,93101,4.0,240,American,56.0
2674,psZB8nX22WvadV3iUShUBg,Goleta,93117,3.0,31,Fast Food,87.89999999999999
2681,q-1ICFSqs2MwDGfe5tX-SQ,Santa Barbara,93105,4.0,337,American,28.4
2688,qM2gfO-cqpDzxmIX-XzuWA,Santa Barbara,93108,4.0,77,American,35.0
2695,qNXAR7i6Tb3m0J0UBurj6g,Carpinteria,93013,4.5,84,Healthy,16.0
2702,qdpdUjdkEUpzYDdce2yZng,Santa Barbara,93105,4.0,188,Deli,48.10000000000001
2709,qx2YTFXfVDwQUfOeWCFfbw,Santa Barbara,93105,3.0,43,Deli,51.0
2716,r2IhvKZQ_wLR5mLBnPOilg,Santa Barbara,93108,4.5,557,American,62.0
2723,r926yelr_EJAKQCjdD6AWA,Santa Barbara,93101,4.0,519,Breakfast,18.4
2730,rPVmM0aJbC6lU_mnDiZ2Rw,Santa Barbara,93105,4.0,213,American,44.0
2737,rUePoREIOze59D3fd6B6ew,Goleta,93111,2.5,48,Pizza,70.10000000000001
2744,rlfWeYI1SLvC8ZKM_OvXWA,Santa Barbara,93106,4.0,10,Pizza,20.0
2751,s4k1P9FHfPUzw3dqXRp7eA,Santa Barbara,93101,4.5,234,Bakery,66.0
2758,sj2o49ZCq2iJlZxDNrHDaA,Santa Barbara,93108,4.5,150,Pizza,83.0
2765,sjWf71VmU5HIwqX8RGCLJw,Santa Barbara,93101,4.5,22,American,39.89999999999999
2772,sk0IM8koYo1o9-k_rpkmxQ,Santa Barbara,93101,4.5,95,Mexican,54.0
2779,soaZ7_oU7xcphlw6gpWblg,Santa Barbara,93109,3.0,47,Coffee,112.0
2786,ssZSQ7HzLFBbm41gWubXKQ,Santa Barbara,93117,3.0,46,Mexican,93.10000000000001
2793,syuKX2pH3JJhOOppzNI6SA,Santa Barbara,93101,4.5,184,Japanese,16.0
2800,sz5SMsTOTAshdfsaK98-TA,Goleta,93117,4.0,291,American,25.800000000000004
2807,tA1IXs5GeNAqnJgaD4ajZA,Goleta,93117,3.5,46,Pizza,64.0
2814,tGQytMbOXDdZS_OSK9hkBw,Santa Barbara,93101,4.0,149,American,22.099999999999998
2821,tS47dXDlx9t-6B_F56cKUA,Santa Barbara,93105,2.0,97,Mexican,70.19999999999999
2828,tf6S06LD09IFDHUpOPqPaw,Santa Barbara,93103,4.5,856,Mexican,51.0
2835,thlyktt2c7v1DyOpSVSibw,Santa Barbara,93101,4.0,897,Breakfast,30.0
2842,tjIIpbimdbi9Lrb-DoIzKg,Isla Vista,93117,4.0,64,Japanese,56.0
2849,tyt3pz0x3ZB8GXsSx1a9Aw,Santa Barbara,93101,4.0,251,Italian,35.0
2856,u3uB0GD7cVf5NC-AFHdwnQ,Santa Barbara,93101,5.0,10,Coffee,20.1
2863,u9oG6CVhS9dJR5ZHS5q23A,Santa Barbara,93109,4.5,127,Bakery,38.0
2870,uGo0TCVNOcDQxMArUU0Jrw,Goleta,93117,4.0,561,Breakfast,42.0
2877,uO39--k_hrCFgZh-Bl8m8A,Santa Barbara,93101,4.5,409,Mexican,61.800000000000004
2884,uvb3NcpqBEaCrrcyfNF-wA,Carpinteria,93013,2.5,81,Coffee,96.0
2891,vC2qm1y3Au5czBtbhc-DNw,Carpinteria,93013,3.0,167,Japanese,35.0
2898,vNRTLUP22o1X3sMURoiB9A,Carpinteria,93013,4.0,94,Mexican,98.3
2905,vTXNVK73GOvVb3js4w8SLg,Santa Barbara,93105,2.5,39,Pizza,70.10000000000001
2912,vZG0BDPGDJxMGiXcGoVU6w,Santa Barbara,93110,4.0,182,Fast Food,90.0
2919,vhWlxyLEWAbNOMtQ42yzFg,Santa Barbara,93101,4.5,492,Deli,35.0
2926,vj6AetpADpHOYtMRZsXX3g,Santa Barbara,93105,4.0,807,Mexican,70.0
2933,vmq2cm0Ayol4toVsL4dZfA,Isla Vista,93117,4.5,187,Healthy,84.0
2940,vyyr3G874jpRYSQo2KPZow,Goleta,93117,5.0,117,Bakery,71.4
2947,w79qtK0PpeDWrnY7E-uTRg,Santa Barbara,93109,3.5,28,Fast Food,50.0
2954,wFES5bGDiPANW13hNHnXOQ,Santa Barbara,93108,4.0,374,Japanese,22.900000000000002
2961,wK2IixmZUOEFGz1QZqR99Q,Santa Barbara,93101,4.0,75,Deli,93.80000000000001
2968,wKOD2ZWMpiJcdSswRXVuRA,Goleta,93117,3.5,144,American,76.89999999999999
2975,wMZAnrfwV-qHiV5zdTSrzw,Santa Barbara,93110,4.0,296,American,35.0
2982,wUHUyTrOpUcTVTQpyZFo8w,Santa Barbara,93101,2.0,34,Fast Food,114.0
2989,wfjqxgLSsLtyzswzQBziSw,Santa Barbara,93101,4.0,165,Italian,38.199999999999996
2996,wupvqueqdEZXQxv14sa9vw,Carpinteria,93013,4.0,455,American,57.0
3003,wvD7TOuE-qUhkyXoi8K8hA,Santa Barbara,93103,4.0,246,Mexican,68.0
3010,x3D4pyClaewoT1H2Jzcmjg,Goleta,93117,4.0,8,American,54.0
3017,xRapA2lG7mjJ6eOqHmxe-A,Santa Barbara,93101,4.0,155,American,20.0
3024,xVtO6a4dqKQQzMXkSPL80A,Santa Barbara,93101,4.0,73,Mexican,46.0
3031,xdEND5C5s4FqCqgf0p7EBg,Goleta,93117,3.0,29,Fast Food,105.0
3038,xwSWtJcQkzTF6HNm_IMgcg,Goleta,93117,2.5,94,Pizza,64.0
3045,y4x_wAQvUxvTR8iV-JP4Jg,Santa Barbara,93109,4.0,504,American,66.0
3052,yEmEDomLUofVtbZoUeFV5g,Santa Barbara,93105,4.0,312,Coffee,67.89999999999999
3059,yM7eA2uuH3Ch7OYVj3PKSw,Santa Barbara,93101,4.5,82,Japanese,21.0
3066,yPSejq3_erxo9zdVYTBnZA,Santa Barbara,93101,4.5,3834,Mexican,70.0
3073,ycbmvmBYk4w_ZmdrPL0tBQ,Santa Barbara,93101,4.0,362,American,74.5
3080,ygZyTUWS4dbVL8d6vAiN4A,Santa Barbara,93101,4.0,68,Mexican,98.0
3087,yw3vRR7XLIjEnlhMnVzR7w,Santa Barbara,93101,2.5,240,Japanese,40.0
3094,z5N7vgaNSBpjKT_gbY53sw,Goleta,93117,3.5,58,Bakery,77.0
3101,z6I4QVP1M1HXETgwD92XHg,Santa Barbara,93101,4.0,488,Italian,24.900000000000002
3108,z9-8KvMAlVK46De-G3sNJQ,Santa Barbara,93101,4.0,239,Healthy,84.0
3115,zJpZ-uQ_F0XVgK1u98uWSg,Santa Barbara,93101,4.5,13,Mexican,28.199999999999996
3122,zZrDoiQIUmiVkifJx0h_KA,Santa Barbara,93101,4.5,8,Coffee,77.0
3129,zeAfmYy9b1gfUJLRBHm6vQ,Santa Barbara,93105,4.0,240,Italian,74.6
3136,ziXR7sUrbKRCNeDqfjibUg,Santa Barbara,93101,4.0,262,Mexican,97.0
